"","city","team1","team2","team1_toss_win","team1_bat","team1_win"
"1",1,"12","14",0,0,1
"2",2,"11","13",0,0,0
"3",3,"5","2",0,0,0
"4",4,"13","15",0,0,0
"5",5,"14","8",1,1,1
"6",1,"5","12",0,0,0
"7",6,"2","11",0,0,0
"8",4,"14","15",1,1,0
"9",2,"8","13",0,0,1
"10",6,"12","11",0,0,0
"11",7,"15","2",0,0,0
"12",5,"14","11",0,0,0
"13",3,"13","5",0,0,0
"14",7,"2","12",0,0,1
"15",8,"8","15",1,1,1
"16",6,"5","11",0,0,0
"17",5,"13","14",0,0,1
"18",8,"8","2",1,1,0
"19",1,"12","15",0,0,1
"20",3,"14","5",0,0,1
"21",1,"12","8",1,1,1
"22",4,"15","11",0,0,0
"23",7,"2","5",0,0,0
"24",6,"11","8",0,0,1
"25",2,"12","13",0,0,0
"26",3,"15","5",0,0,1
"27",7,"2","14",0,0,1
"28",6,"13","11",0,0,1
"29",2,"13","2",0,0,0
"30",5,"14","5",0,0,0
"31",7,"8","2",0,0,0
"32",9,"12","15",0,0,1
"33",2,"13","14",0,0,1
"35",9,"8","15",0,0,0
"36",1,"12","2",0,0,1
"37",6,"14","11",1,1,0
"38",2,"5","13",0,0,0
"39",8,"12","8",0,0,0
"40",7,"2","13",0,0,0
"41",8,"5","8",0,0,0
"42",5,"15","14",0,0,1
"43",1,"13","12",0,0,1
"44",8,"11","8",0,0,1
"45",5,"14","2",0,0,0
"46",9,"15","5",0,0,0
"47",1,"11","12",1,1,0
"48",9,"15","2",0,0,1
"49",10,"5","8",0,0,0
"50",6,"15","11",0,0,1
"51",8,"8","13",1,1,1
"52",10,"5","12",0,0,0
"53",7,"11","2",0,0,1
"54",2,"15","13",0,0,0
"55",8,"14","8",1,1,1
"56",6,"13","11",0,0,1
"57",5,"12","2",0,0,0
"58",5,"2","11",0,0,0
"59",1,"11","13",1,1,1
"60",5,"2","14",0,0,1
"61",9,"6","15",1,1,1
"62",8,"3","8",1,1,0
"63",6,"11","14",1,1,0
"64",7,"9","2",1,1,0
"65",11,"15","3",1,1,0
"66",1,"9","8",1,1,0
"67",12,"6","11",0,0,1
"68",1,"9","3",0,0,0
"69",9,"15","11",0,0,1
"70",5,"14","3",0,0,0
"71",12,"2","6",1,1,0
"72",6,"11","9",0,0,0
"73",9,"8","15",1,1,0
"74",5,"6","14",1,1,1
"75",7,"2","11",1,1,0
"76",8,"8","14",0,0,1
"77",1,"9","15",0,0,0
"78",11,"3","2",1,1,1
"79",12,"6","8",1,1,0
"80",1,"9","14",1,1,0
"81",9,"15","2",1,1,1
"82",6,"11","8",0,0,1
"83",11,"6","3",1,1,0
"84",5,"14","15",0,0,0
"85",12,"6","9",0,0,0
"86",6,"3","11",0,0,0
