"","batsman","total_runs","out","numberofballs","average","strikerate","total_four","total_six"
"1","A Ashish Reddy",280,15,191,18.6666666666667,146.596858638743,16,15
"2","A Chandila",4,1,7,4,57.1428571428571,0,0
"3","A Chopra",53,5,71,10.6,74.6478873239437,7,0
"4","A Choudhary",25,2,20,12.5,125,1,1
"5","A Dananjaya",4,0,5,NA,80,0,0
"6","A Flintoff",62,2,53,31,116.981132075472,5,2
"7","A Hales",150,6,118,25,127.118644067797,13,6
"8","A Joseph",15,0,13,NA,115.384615384615,2,0
"9","A Kumble",35,2,46,17.5,76.0869565217391,3,0
"10","A Mishra",366,29,385,12.6206896551724,95.0649350649351,30,5
"11","A Mithun",34,5,25,6.8,136,4,1
"12","A Mukund",19,2,22,9.5,86.3636363636364,1,0
"13","A Nehra",41,8,59,5.125,69.4915254237288,3,1
"14","A Singh",2,4,10,0.5,20,0,0
"15","A Symonds",974,26,748,37.4615384615385,130.213903743316,74,41
"16","A Turner",3,3,10,1,30,0,0
"17","A Uniyal",4,1,7,4,57.1428571428571,0,0
"18","A Zampa",5,2,8,2.5,62.5,1,0
"19","AA Bilakhia",69,5,85,13.8,81.1764705882353,5,0
"20","AA Chavan",12,1,11,12,109.090909090909,2,0
"21","AA Jhunjhunwala",217,14,210,15.5,103.333333333333,19,5
"22","AA Noffke",9,1,10,9,90,1,0
"23","AB Agarkar",179,8,152,22.375,117.763157894737,13,5
"24","AB Barath",42,2,42,21,100,5,1
"25","AB de Villiers",4414,104,2902,42.4423076923077,152.10199862164,357,214
"26","AB Dinda",26,9,47,2.88888888888889,55.3191489361702,2,0
"27","AB McDonald",123,5,99,24.6,124.242424242424,9,4
"28","Abdur Razzak",0,0,2,NA,0,0,0
"29","AC Blizzard",120,7,89,17.1428571428571,134.831460674157,21,2
"30","AC Gilchrist",2069,76,1492,27.2236842105263,138.672922252011,239,92
"31","AC Thomas",20,2,19,10,105.263157894737,1,1
"32","AC Voges",181,6,142,30.1666666666667,127.464788732394,15,3
"33","AD Mascarenhas",79,10,78,7.9,101.282051282051,5,1
"34","AD Mathews",724,31,573,23.3548387096774,126.352530541012,44,29
"35","AD Nath",90,10,98,9,91.8367346938776,7,2
"36","AD Russell",1415,41,752,34.5121951219512,188.164893617021,98,119
"37","AF Milne",7,3,12,2.33333333333333,58.3333333333333,0,0
"38","AG Murtaza",10,1,14,10,71.4285714285714,1,0
"39","AG Paunikar",49,5,57,9.8,85.9649122807018,9,0
"40","AJ Finch",1741,66,1332,26.3787878787879,130.705705705706,176,67
"41","AJ Tye",92,7,70,13.1428571428571,131.428571428571,7,4
"42","AL Menaria",401,22,356,18.2272727272727,112.640449438202,24,18
"43","AM Nayar",672,39,574,17.2307692307692,117.073170731707,55,20
"44","AM Rahane",3834,117,3133,32.7692307692308,122.37472071497,405,74
"45","AN Ahmed",36,1,26,36,138.461538461538,4,1
"46","AN Ghosh",7,2,8,3.5,87.5,1,0
"47","Anirudh Singh",63,4,66,15.75,95.4545454545455,6,1
"48","Ankit Sharma",160,10,108,16,148.148148148148,11,9
"49","Ankit Soni",7,2,8,3.5,87.5,0,1
"50","Anureet Singh",37,4,46,9.25,80.4347826086957,2,1
"51","AP Dole",34,2,22,17,154.545454545455,3,1
"52","AP Majumdar",87,4,76,21.75,114.473684210526,7,2
"53","AP Tare",339,24,273,14.125,124.175824175824,40,11
"54","AR Bawne",12,0,12,NA,100,1,0
"55","AR Patel",800,43,628,18.6046511627907,127.388535031847,47,35
"56","AS Rajpoot",17,3,30,5.66666666666667,56.6666666666667,2,0
"57","AS Raut",194,11,167,17.6363636363636,116.167664670659,13,7
"58","AS Yadav",995,35,746,28.4285714285714,133.378016085791,113,28
"59","AT Rayudu",3313,114,2616,29.0614035087719,126.64373088685,278,120
"60","AUK Pathan",39,5,23,7.8,169.565217391304,5,2
"61","Avesh Khan",4,0,3,NA,133.333333333333,1,0
"62","Azhar Mahmood",388,19,302,20.4210526315789,128.476821192053,39,13
"63","B Akhil",76,7,55,10.8571428571429,138.181818181818,5,5
"64","B Chipli",280,16,250,17.5,112,28,7
"65","B Kumar",184,23,189,8,97.3544973544974,18,3
"66","B Laughlin",5,2,13,2.5,38.4615384615385,0,0
"67","B Lee",124,10,96,12.4,129.166666666667,8,8
"68","B Stanlake",5,0,2,NA,250,1,0
"69","B Sumanth",35,1,37,35,94.5945945945946,3,0
"70","BA Bhatt",6,0,7,NA,85.7142857142857,0,1
"71","BA Stokes",641,30,481,21.3666666666667,133.264033264033,43,25
"72","Basil Thampi",32,2,33,16,96.969696969697,1,1
"73","BAW Mendis",3,2,6,1.5,50,0,0
"74","BB McCullum",2886,106,2185,27.2264150943396,132.0823798627,293,129
"75","BB Samantray",125,5,113,25,110.619469026549,13,2
"76","BB Sran",11,1,14,11,78.5714285714286,0,0
"77","BCJ Cutting",239,11,141,21.7272727272727,169.503546099291,15,19
"78","BE Hendricks",1,1,3,1,33.3333333333333,0,0
"79","Bipul Sharma",187,6,121,31.1666666666667,154.545454545455,11,9
"80","BJ Haddin",18,1,11,18,163.636363636364,2,1
"81","BJ Hodge",1400,46,1117,30.4347826086957,125.335720680394,122,43
"82","BJ Rohrer",193,7,141,27.5714285714286,136.879432624113,21,5
"83","BMAJ Mendis",23,3,27,7.66666666666667,85.1851851851852,0,0
"84","BR Dunk",40,3,35,13.3333333333333,114.285714285714,7,0
"85","C de Grandhomme",304,15,223,20.2666666666667,136.322869955157,18,17
"86","C Ingram",184,10,154,18.4,119.480519480519,20,5
"87","C Madan",15,1,19,15,78.9473684210526,3,0
"88","C Munro",178,9,141,19.7777777777778,126.241134751773,19,8
"89","C Nanda",0,1,1,0,0,0,0
"90","CA Ingram",21,2,26,10.5,80.7692307692308,2,0
"91","CA Lynn",1288,37,909,34.8108108108108,141.694169416942,128,62
"92","CA Pujara",390,18,391,21.6666666666667,99.7442455242967,50,4
"93","CH Gayle",4525,110,2972,41.1363636363636,152.254374158816,376,327
"94","CH Morris",519,20,327,25.95,158.715596330275,37,27
"95","CJ Anderson",538,22,423,24.4545454545455,127.186761229314,40,31
"96","CJ Ferguson",98,6,116,16.3333333333333,84.4827586206897,9,0
"97","CJ Jordan",3,1,5,3,60,0,0
"98","CJ McKay",8,1,15,8,53.3333333333333,0,0
"99","CK Kapugedera",16,3,23,5.33333333333333,69.5652173913043,0,0
"100","CK Langeveldt",8,2,9,4,88.8888888888889,0,1
"101","CL White",971,35,760,27.7428571428571,127.763157894737,76,38
"102","CM Gautam",169,9,148,18.7777777777778,114.189189189189,17,6
"103","CR Brathwaite",182,14,110,13,165.454545454545,10,16
"104","CR Woakes",63,5,66,12.6,95.4545454545455,5,2
"105","CRD Fernando",4,1,3,4,133.333333333333,0,0
"106","D du Preez",10,1,13,10,76.9230769230769,0,0
"107","D Kalyankrishna",3,1,7,3,42.8571428571429,0,0
"108","D Salunkhe",33,1,24,33,137.5,5,0
"109","D Shorey",13,2,17,6.5,76.4705882352941,0,1
"110","D Short",116,7,99,16.5714285714286,117.171717171717,11,5
"111","D Wiese",127,5,90,25.4,141.111111111111,12,4
"112","DA Miller",1858,54,1327,34.4074074074074,140.015071590053,127,87
"113","DA Warner",4717,114,3292,41.3771929824561,143.286755771567,459,181
"114","DAJ Bracewell",12,0,9,NA,133.333333333333,1,0
"115","DB Das",304,12,260,25.3333333333333,116.923076923077,23,16
"116","DB Ravi Teja",375,20,317,18.75,118.296529968454,35,9
"117","DE Bollinger",21,1,22,21,95.4545454545455,1,1
"118","DH Yagnik",170,9,135,18.8888888888889,125.925925925926,23,2
"119","DJ Bravo",1494,63,1155,23.7142857142857,129.350649350649,118,60
"120","DJ Harris",111,3,101,37,109.90099009901,11,5
"121","DJ Hooda",526,33,413,15.9393939393939,127.360774818402,27,24
"122","DJ Hussey",1322,48,1069,27.5416666666667,123.666978484565,90,60
"123","DJ Jacobs",92,7,97,13.1428571428571,94.8453608247423,10,4
"124","DJ Muthuswami",1,1,3,1,33.3333333333333,0,0
"125","DJ Thornely",39,3,52,13,75,2,2
